Indice,Paper_ID,Target,r,LLCI,ULCI,SD,Method
Efficiency,n13,Friend,0.57843,0.39026,0.7666,0.18817,Permuted
ezDDM: v,n13,Friend,0.79652,0.60164,0.9914,0.19488,Permuted
ezDDM: z,n13,Friend,0.57324,0.36195,0.78453,0.21129,Permuted
RT,n14,Friend,0.83266,0.67434,0.99098,0.15832,Permuted
ACC,n14,Friend,0.82597,0.71815,0.93379,0.10782,Permuted
Dprime,n14,Friend,0.58582,0.39598,0.77566,0.18984,Permuted
Efficiency,n14,Friend,0.6387,0.39044,0.88696,0.24826,Permuted
ezDDM: v,n14,Friend,0.68599,0.4912,0.88078,0.19479,Permuted
ezDDM: z,n14,Friend,0.58107,0.33451,0.82763,0.24656,Permuted
RT,n16,Friend,0.72497,0.57132,0.87862,0.15365,Permuted
ACC,n16,Friend,0.56697,0.35961,0.77433,0.20736,Permuted
Dprime,n16,Friend,0.69748,0.48414,0.91082,0.21334,Permuted
Efficiency,n16,Friend,0.66821,0.46428,0.87214,0.20393,Permuted
ezDDM: v,n16,Friend,0.59615,0.42545,0.76685,0.1707,Permuted
ezDDM: z,n16,Friend,0.65119,0.47461,0.82777,0.17658,Permuted
RT,n23,Friend,0.68553,0.47026,0.9008,0.21527,Permuted
ACC,n23,Friend,0.80667,0.6347,0.97864,0.17197,Permuted
Dprime,n23,Friend,0.53629,0.36708,0.7055,0.16921,Permuted
Efficiency,n23,Friend,0.71248,0.59434,0.83062,0.11814,Permuted
ezDDM: v,n23,Friend,0.6341,0.41237,0.85583,0.22173,Permuted
ezDDM: z,n23,Friend,0.76559,0.57362,0.95756,0.19197,Permuted
RT,s1,Friend,0.78799,0.59223,0.98375,0.19576,Permuted
ACC,s1,Friend,0.43303,0.2088,0.65726,0.22423,Permuted
Dprime,s1,Friend,0.61887,0.4096,0.82814,0.20927,Permuted
Efficiency,s1,Friend,0.76719,0.63117,0.90321,0.13602,Permuted
ezDDM: v,s1,Friend,0.68736,0.48359,0.89113,0.20377,Permuted
ezDDM: z,s1,Friend,0.76525,0.56712,0.96338,0.19813,Permuted
RT,0,Stranger,0.6922,0.54431,0.84009,0.14789,Permuted
ACC,0,Stranger,0.63369,0.4045,0.86288,0.22919,Permuted
Dprime,0,Stranger,0.76862,0.54164,0.9956,0.22698,Permuted
Efficiency,0,Stranger,0.62311,0.46237,0.78385,0.16074,Permuted
ezDDM: v,0,Stranger,0.7992,0.60413,0.99427,0.19507,Permuted
ezDDM: z,0,Stranger,0.64886,0.47729,0.82043,0.17157,Permuted
RT,6,Stranger,0.79312,0.64363,0.94261,0.14949,Permuted
ACC,6,Stranger,0.74775,0.50842,0.98708,0.23933,Permuted
Dprime,6,Stranger,0.64187,0.45023,0.83351,0.19164,Permuted
Efficiency,6,Stranger,0.70716,0.48887,0.92545,0.21829,Permuted
ezDDM: v,6,Stranger,0.75718,0.55673,0.95763,0.20045,Permuted
ezDDM: z,6,Stranger,0.66689,0.4993,0.83448,0.16759,Permuted
RT,34,Stranger,0.83655,0.68584,0.98726,0.15071,Permuted
ACC,34,Stranger,0.69013,0.45215,0.92811,0.23798,Permuted
Dprime,34,Stranger,0.78259,0.59174,0.97344,0.19085,Permuted
Efficiency,34,Stranger,0.75173,0.59687,0.90659,0.15486,Permuted
ezDDM: v,34,Stranger,0.77896,0.60498,0.95294,0.17398,Permuted
ezDDM: z,34,Stranger,0.75107,0.53195,0.97019,0.21912,Permuted
RT,46,Stranger,0.47496,0.28989,0.66003,0.18507,Permuted
ACC,46,Stranger,0.72142,0.53944,0.9034,0.18198,Permuted
Dprime,46,Stranger,0.70394,0.49595,0.91193,0.20799,Permuted
Efficiency,46,Stranger,0.63646,0.45932,0.8136,0.17714,Permuted
ezDDM: v,46,Stranger,0.64737,0.45655,0.83819,0.19082,Permuted
ezDDM: z,46,Stranger,0.60865,0.47472,0.74258,0.13393,Permuted
RT,51,Stranger,0.74449,0.5087,0.98028,0.23579,Permuted
ACC,51,Stranger,0.60482,0.41544,0.7942,0.18938,Permuted
Dprime,51,Stranger,0.77543,0.59864,0.95222,0.17679,Permuted
Efficiency,51,Stranger,0.61131,0.42505,0.79757,0.18626,Permuted
ezDDM: v,51,Stranger,0.74459,0.56257,0.92661,0.18202,Permuted
ezDDM: z,51,Stranger,0.64716,0.4378,0.85652,0.20936,Permuted
RT,54,Stranger,0.78997,0.66449,0.91545,0.12548,Permuted
ACC,54,Stranger,0.46719,0.28744,0.64694,0.17975,Permuted
Dprime,54,Stranger,0.69727,0.51209,0.88245,0.18518,Permuted
Efficiency,54,Stranger,0.59614,0.40078,0.7915,0.19536,Permuted
ezDDM: v,54,Stranger,0.808,0.62125,0.99475,0.18675,Permuted
ezDDM: z,54,Stranger,0.57032,0.32771,0.81293,0.24261,Permuted
RT,95,Stranger,0.71988,0.52206,0.9177,0.19782,Permuted
ACC,95,Stranger,0.69282,0.52094,0.8647,0.17188,Permuted
Dprime,95,Stranger,0.78464,0.62549,0.94379,0.15915,Permuted
Efficiency,95,Stranger,0.74637,0.52812,0.96462,0.21825,Permuted
ezDDM: v,95,Stranger,0.69413,0.49212,0.89614,0.20201,Permuted
ezDDM: z,95,Stranger,0.62787,0.45809,0.79765,0.16978,Permuted
RT,n4,Stranger,0.70368,0.53128,0.87608,0.1724,Permuted
ACC,n4,Stranger,0.66816,0.42572,0.9106,0.24244,Permuted
Dprime,n4,Stranger,0.72856,0.50461,0.95251,0.22395,Permuted
Efficiency,n4,Stranger,0.6725,0.4198,0.9252,0.2527,Permuted
ezDDM: v,n4,Stranger,0.59858,0.43627,0.76089,0.16231,Permuted
ezDDM: z,n4,Stranger,0.60031,0.38806,0.81256,0.21225,Permuted
RT,n13,Stranger,0.72376,0.54245,0.90507,0.18131,Permuted
ACC,n13,Stranger,0.6048,0.46561,0.74399,0.13919,Permuted
Dprime,n13,Stranger,0.76773,0.61734,0.91812,0.15039,Permuted
Efficiency,n13,Stranger,0.72343,0.52928,0.91758,0.19415,Permuted
ezDDM: v,n13,Stranger,0.57435,0.40589,0.74281,0.16846,Permuted
ezDDM: z,n13,Stranger,0.5086,0.32565,0.69155,0.18295,Permuted
RT,n14,Stranger,0.74606,0.51683,0.97529,0.22923,Permuted
ACC,n14,Stranger,0.73462,0.51793,0.95131,0.21669,Permuted
Dprime,n14,Stranger,0.63893,0.46932,0.80854,0.16961,Permuted
Efficiency,n14,Stranger,0.78379,0.66184,0.90574,0.12195,Permuted
ezDDM: v,n14,Stranger,0.74375,0.53184,0.95566,0.21191,Permuted
ezDDM: z,n14,Stranger,0.73047,0.5427,0.91824,0.18777,Permuted
RT,n16,Stranger,0.70955,0.57978,0.83932,0.12977,Permuted
ACC,n16,Stranger,0.65957,0.50935,0.80979,0.15022,Permuted
Dprime,n16,Stranger,0.71571,0.4835,0.94792,0.23221,Permuted
Efficiency,n16,Stranger,0.63465,0.41233,0.85697,0.22232,Permuted
ezDDM: v,n16,Stranger,0.7197,0.57177,0.86763,0.14793,Permuted
ezDDM: z,n16,Stranger,0.78444,0.59355,0.97533,0.19089,Permuted
RT,n23,Stranger,0.60289,0.39608,0.8097,0.20681,Permuted
ACC,n23,Stranger,0.6178,0.36984,0.86576,0.24796,Permuted
Dprime,n23,Stranger,0.62115,0.41278,0.82952,0.20837,Permuted
Efficiency,n23,Stranger,0.63869,0.4214,0.85598,0.21729,Permuted
ezDDM: v,n23,Stranger,0.77008,0.56174,0.97842,0.20834,Permuted
ezDDM: z,n23,Stranger,0.66021,0.51096,0.80946,0.14925,Permuted
RT,s1,Stranger,0.65845,0.46506,0.85184,0.19339,Permuted
ACC,s1,Stranger,0.51085,0.26927,0.75243,0.24158,Permuted
Dprime,s1,Stranger,0.5691,0.31357,0.82463,0.25553,Permuted
Efficiency,s1,Stranger,0.61684,0.44521,0.78847,0.17163,Permuted
ezDDM: v,s1,Stranger,0.64863,0.45138,0.84588,0.19725,Permuted
ezDDM: z,s1,Stranger,0.5247,0.36301,0.68639,0.16169,Permuted
